,class,precision,recall,f1-score,accuracy
0,A,0.0,0.0,,0.96689653
1,B,0.13571429,0.2923077,0.18536586,0.92321837
2,C,0.0,0.0,,0.9641379
3,D,0.05538922,0.5,0.099730454,0.69287354
4,E,0.0,0.0,,0.97103447
5,F,0.0,0.0,,0.9627586
6,G,0.0,0.0,,0.9678161
7,H,0.21428572,0.03529412,0.060606066,0.95724136
8,I,0.0,0.0,,0.96045977
9,J,0.0,0.0,,0.95862067
10,K,0.06284153,0.31506848,0.104783595,0.81931037
11,L,0.0,0.0,,0.96827585
12,M,0.0,0.0,,0.9673563
13,N,0.0,0.0,,0.96045977
14,O,0.0,0.0,,0.9632184
15,P,0.077294685,0.25396827,0.11851852,0.8905747
16,Q,0.0,0.0,,0.96873564
17,R,0.0,0.0,,0.97057474
18,S,0.0,0.0,,0.9641379
19,T,0.0,0.0,,0.9678161
20,U,0.045393858,0.5074627,0.08333333,0.6560919
21,V,0.0,0.0,,0.9664368
22,W,0.0,0.0,,0.9636782
23,X,0.0,0.0,,0.9641379
24,Y,0.0,0.0,,0.9650575
25,Z,0.0,0.0,,0.96965516
26,space,0.14285715,0.024096385,0.041237112,0.95724136
27,del,0.0,0.0,,0.95724136
28,nothing,0.0,0.0,,0.95816094
