,class,precision,recall,f1-score,accuracy
0,A,0.1,0.068085104,0.08101266,0.9443678
1,B,0.64285713,0.04054054,0.076271184,0.96659005
2,C,0.33766234,0.22413793,0.26943007,0.9567816
3,D,0.074239716,0.37727273,0.124065764,0.82038313
4,E,0.08982036,0.27906978,0.13590035,0.8830651
5,F,0.12969284,0.1637931,0.1447619,0.93118775
6,G,0.1,0.009049774,0.016597511,0.9636782
7,H,0.44,0.09322034,0.15384614,0.9629119
8,I,0.02173913,0.004405286,0.0073260074,0.9584674
9,J,0.1764706,0.025,0.04379562,0.95984674
10,K,0.13419913,0.14155251,0.13777778,0.9405364
11,L,0.08415841,0.07727273,0.08056872,0.9405364
12,M,0.0,0.0,,0.9624521
13,N,0.057866186,0.14035088,0.081946224,0.89011496
14,O,0.0,0.0,,0.9642912
15,P,0.0,0.0,,0.9681226
16,Q,0.19298245,0.049773756,0.07913669,0.96076626
17,R,0.08695652,0.01904762,0.031250004,0.9619923
18,S,0.0,0.0,,0.9656705
19,T,0.0,0.0,,0.9645977
20,U,0.0,0.0,,0.9649042
21,V,0.0,0.0,,0.96613026
22,W,0.052069426,0.17410715,0.08016443,0.8628352
23,X,0.14705883,0.023041476,0.03984064,0.96306515
24,Y,0.0,0.0,,0.96521074
25,Z,0.07836991,0.22522523,0.11627907,0.8835249
26,space,0.06382979,0.24050634,0.10088495,0.8442912
27,del,0.17515923,0.23305085,0.19999999,0.93256706
28,nothing,0.29807693,0.26271185,0.2792793,0.95095783
