truth,predict,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28
6,3,0.03254804,0.05209489,0.040079635,0.05216276,0.03624471,0.038209174,0.025363332,0.051173992,0.029237403,0.046919942,0.030169364,0.032641422,0.026581485,0.043149393,0.03363818,0.046698675,0.03302039,0.022677345,0.03045013,0.02336561,0.035483245,0.028163625,0.029818859,0.03872649,0.03272004,0.021384932,0.040751886,0.033650026,0.012874981
28,20,0.022634132,0.026421808,0.027436305,0.029072782,0.030531568,0.02829263,0.031175317,0.026302813,0.030135453,0.03751233,0.05748806,0.04808532,0.025543563,0.034292772,0.028768122,0.037956532,0.037631422,0.039306246,0.041653037,0.023331868,0.05926743,0.045061678,0.03756052,0.03605074,0.033732444,0.021749688,0.039508265,0.042394895,0.021102346
26,20,0.022396566,0.026813937,0.027331313,0.030148773,0.0301876,0.027774513,0.030672492,0.026401667,0.030101882,0.036913846,0.057641048,0.04818731,0.025276607,0.033527292,0.02860326,0.037983824,0.037711494,0.03916786,0.041257434,0.023640778,0.058576018,0.045428246,0.037782572,0.036099136,0.03361478,0.021962464,0.04061304,0.042914778,0.02126949
13,3,0.036828898,0.05478912,0.042949412,0.0595688,0.037187256,0.038131084,0.023146458,0.045537982,0.029369147,0.041344397,0.03056616,0.030131347,0.023944845,0.03885609,0.037952125,0.045569643,0.030417508,0.023460206,0.03084409,0.026034005,0.030824507,0.026278676,0.02712735,0.042434108,0.036653075,0.022962233,0.040259708,0.032629903,0.014201905
21,3,0.03883979,0.038336042,0.038470324,0.049265455,0.035804033,0.03217927,0.03075221,0.035882395,0.03259855,0.03419251,0.03284721,0.030518563,0.027565058,0.03693569,0.037094705,0.03525829,0.030778365,0.029550964,0.036032226,0.032661807,0.033831112,0.03346251,0.030318499,0.03594496,0.037370212,0.029894773,0.037425958,0.038538206,0.027650388
6,10,0.028963823,0.031219348,0.03325121,0.03291545,0.032412924,0.032501295,0.03020835,0.028244779,0.030589536,0.03435212,0.04779751,0.042160712,0.02882327,0.032769784,0.03441479,0.036031034,0.034507502,0.036827315,0.039346617,0.028243238,0.04262012,0.03923753,0.035589103,0.035749953,0.03431148,0.027835341,0.0414589,0.040290013,0.027326928
11,20,0.026557913,0.03183945,0.032905128,0.03406482,0.032301206,0.030064428,0.032493766,0.02967157,0.0330153,0.036676478,0.046370868,0.044287633,0.027452428,0.034481607,0.030805936,0.03967096,0.03516765,0.03760661,0.038232613,0.026624193,0.049380254,0.039409176,0.03393094,0.037258293,0.034936614,0.024058528,0.038708717,0.03942907,0.022597756
22,20,0.026525235,0.031980343,0.03152916,0.0320925,0.031777598,0.030775081,0.033199888,0.030348824,0.03135844,0.038534414,0.04636592,0.044883184,0.027696453,0.03507866,0.030363318,0.04057484,0.036584824,0.03686377,0.03827648,0.026058797,0.049180996,0.039623067,0.035590414,0.03675714,0.03323437,0.023259182,0.039381277,0.039986037,0.022119785
5,15,0.03132847,0.04435068,0.03826662,0.04347994,0.035153057,0.0357178,0.03056286,0.036582693,0.033092983,0.039830614,0.03592647,0.037169468,0.029656274,0.03599915,0.032892313,0.045093294,0.03336902,0.030124325,0.033399027,0.026559552,0.03632392,0.031853247,0.030778442,0.037245505,0.03416497,0.025994781,0.040831976,0.03562919,0.018623386
4,26,0.029485557,0.036951914,0.036287222,0.037894387,0.031111946,0.031226419,0.031973734,0.03134693,0.03205025,0.03748336,0.0442111,0.04418736,0.027217127,0.032150764,0.032239698,0.042730268,0.033962045,0.0340879,0.03598886,0.026674682,0.040217157,0.03560765,0.032913424,0.038705457,0.03236439,0.023791645,0.045965057,0.04100574,0.020167949
6,10,0.023041055,0.025231546,0.027315982,0.029224824,0.029341627,0.029445073,0.029974053,0.02625186,0.029363351,0.03505877,0.059554327,0.046688356,0.02533975,0.0344423,0.029855225,0.035936352,0.036939744,0.03847132,0.04298519,0.024664074,0.056626987,0.04592899,0.037724815,0.03662217,0.033918288,0.023170743,0.041305155,0.04300783,0.022570185
16,3,0.039549787,0.038651675,0.038190015,0.048799302,0.037688687,0.03395466,0.028961994,0.037753552,0.031298418,0.041641586,0.032957636,0.028939271,0.027070042,0.03821654,0.037049428,0.040836994,0.033617076,0.029016962,0.03557056,0.028420322,0.03293514,0.032779843,0.028664123,0.03657449,0.034750223,0.028170904,0.037269797,0.035408787,0.025262242
2,15,0.027816081,0.042381346,0.037030768,0.041444663,0.033216238,0.032806743,0.031738374,0.033898216,0.032417014,0.03998912,0.040151812,0.041388813,0.027729038,0.035559054,0.030921724,0.045796275,0.034148846,0.032323856,0.034063224,0.025406063,0.041138705,0.034779787,0.03177923,0.037560426,0.034289863,0.022858325,0.041970253,0.037853584,0.017542517
24,20,0.024845472,0.030200977,0.029285643,0.03164499,0.031557277,0.03025291,0.031890176,0.028806686,0.03144132,0.036374323,0.050179802,0.04456845,0.028394867,0.034687474,0.030722514,0.03793443,0.03651664,0.03814609,0.039599713,0.02579406,0.05161621,0.041721176,0.03609671,0.03649907,0.03448468,0.024562772,0.038947675,0.03993527,0.023292642
3,3,0.045758896,0.05153417,0.052301206,0.06972959,0.033303156,0.032070372,0.024772832,0.031168137,0.028447855,0.03703047,0.03420519,0.031279083,0.018735744,0.034055643,0.04024171,0.042931776,0.026393874,0.025125183,0.033274088,0.028004674,0.025101861,0.02815476,0.023358112,0.040980767,0.03347862,0.022860426,0.045315053,0.03956302,0.020823704
23,3,0.042629823,0.038300004,0.040513992,0.049437057,0.038169518,0.03290261,0.029220706,0.035634972,0.031555567,0.03967018,0.03145377,0.029623788,0.025654303,0.03632395,0.037751414,0.040482484,0.03184421,0.030120378,0.0359053,0.029888272,0.031847134,0.032089036,0.028280435,0.036112715,0.034658916,0.02857579,0.03820589,0.03734544,0.025802331
28,3,0.041932255,0.043006696,0.041412927,0.051213503,0.035815496,0.03436209,0.028119206,0.036700077,0.03184344,0.037391715,0.032397,0.030459313,0.025408132,0.0354432,0.03917299,0.039541826,0.030668246,0.028829126,0.034182012,0.030373536,0.030218087,0.031143872,0.027987223,0.038723957,0.0360282,0.028043566,0.03894658,0.035609864,0.025025934
0,1,0.030360172,0.046397038,0.037210174,0.044332612,0.038046308,0.038957953,0.028856143,0.042980235,0.03162185,0.040557228,0.033574685,0.033654936,0.028743522,0.03916059,0.03737521,0.039838325,0.03205272,0.028037364,0.03306144,0.02631077,0.037935436,0.030676335,0.029221293,0.041531265,0.03776268,0.024438836,0.036577716,0.032793835,0.017933289
24,3,0.039406523,0.040959712,0.03882137,0.048605543,0.037570093,0.036108796,0.028545132,0.039568424,0.031226555,0.040950093,0.03262085,0.030227799,0.025891246,0.03791408,0.036641326,0.041105907,0.03421817,0.02900059,0.034814455,0.02972046,0.03318531,0.030671924,0.028599104,0.035825986,0.036993574,0.02656335,0.038366508,0.03356889,0.022308301
12,20,0.02220766,0.027614003,0.028506873,0.029688032,0.030073756,0.028429328,0.032444242,0.02755722,0.030849745,0.03693698,0.054863695,0.048238754,0.02502391,0.035508223,0.028295264,0.040601213,0.0370065,0.039607335,0.04065167,0.023275394,0.060533937,0.044513907,0.036163557,0.036138672,0.03411178,0.02099201,0.039098173,0.04118627,0.01988182
12,20,0.025020832,0.035996743,0.032192547,0.035387553,0.03555343,0.03169998,0.031596504,0.03126615,0.031465545,0.03879366,0.04471229,0.043032378,0.028544556,0.035988554,0.031620312,0.039772924,0.034179084,0.034406528,0.038912047,0.02411154,0.050400097,0.038968574,0.034099806,0.036453843,0.038005453,0.022777792,0.0375149,0.03774455,0.019781787
1,15,0.030563317,0.04203327,0.03884114,0.042521402,0.03323795,0.03310919,0.031471416,0.03379709,0.03266676,0.03925607,0.0394636,0.039582815,0.027948,0.03457212,0.032395404,0.04429533,0.03268832,0.031449225,0.03461687,0.026194869,0.037418168,0.033769205,0.031634454,0.036803126,0.03408952,0.024988908,0.04404923,0.03825662,0.018286634
25,10,0.026445344,0.028172351,0.029925505,0.031174302,0.031472575,0.030370507,0.031550672,0.02807991,0.031533554,0.03602778,0.05029201,0.043247722,0.028287059,0.0341519,0.031277638,0.036220107,0.03648847,0.037487064,0.04033797,0.026856625,0.04960643,0.041724194,0.03729832,0.03653463,0.034528114,0.025800016,0.038783584,0.04071264,0.025612945
28,3,0.042453032,0.042055987,0.041519687,0.05177359,0.03543645,0.03323916,0.02823378,0.035754625,0.03170841,0.036272977,0.032274187,0.03008237,0.025536148,0.03589869,0.03866519,0.039296538,0.030319925,0.028960388,0.03477725,0.030623466,0.030192927,0.031932842,0.028146293,0.037737552,0.035337396,0.028693004,0.039401464,0.03701738,0.026659293
20,20,0.026791364,0.032434095,0.03189381,0.03248664,0.031936694,0.030784084,0.03342908,0.030845942,0.031726718,0.038195476,0.045332022,0.044175383,0.028055267,0.03506423,0.03069533,0.04050516,0.0362384,0.036507126,0.037981503,0.02631109,0.04843799,0.03946294,0.03565565,0.03642562,0.033717208,0.023705836,0.03922128,0.03943942,0.022544602
2,20,0.023022981,0.026479911,0.027568545,0.029385982,0.030563718,0.028563578,0.031234384,0.026639355,0.030507905,0.03719815,0.05632012,0.04741634,0.025939679,0.034198128,0.02902093,0.03752813,0.037626505,0.03908642,0.0416257,0.0238235,0.05810908,0.04479693,0.03770649,0.03619099,0.033650804,0.022448983,0.039298967,0.042146984,0.021900887
14,1,0.030554531,0.04776767,0.037887074,0.045953467,0.03722195,0.03869444,0.029495722,0.040737424,0.030716822,0.04044188,0.034645975,0.034154087,0.02752795,0.038371515,0.03653774,0.04166825,0.031984385,0.02873068,0.034108337,0.025965316,0.036930345,0.029789194,0.028620025,0.042018972,0.038900886,0.023391908,0.036862817,0.033721745,0.016598864
12,3,0.03567693,0.041784354,0.036986995,0.045023974,0.037077643,0.03797754,0.028697278,0.040970366,0.030658172,0.038729392,0.033691686,0.032586623,0.028222952,0.03919997,0.03784864,0.03680462,0.03293155,0.02818671,0.03365491,0.029940605,0.036399115,0.03131602,0.030987436,0.03850812,0.039486986,0.026030352,0.035537533,0.03302168,0.022061927
10,10,0.024205372,0.027187278,0.0276258,0.031287383,0.031000448,0.02857888,0.029197909,0.02716204,0.029848982,0.035929672,0.05610141,0.045359544,0.027255464,0.032705914,0.030069634,0.034099005,0.03748326,0.03803618,0.04120107,0.02595212,0.05216177,0.045034055,0.03835303,0.036009405,0.0345692,0.025019875,0.04062628,0.043074835,0.024864227
19,20,0.022133606,0.02739161,0.02838801,0.029191649,0.030456666,0.029314196,0.03229465,0.027380597,0.03029484,0.037186127,0.055549555,0.04730272,0.025002887,0.03607232,0.028663099,0.04019149,0.03685782,0.039241012,0.040969808,0.023158884,0.059939213,0.044948284,0.03645923,0.036459062,0.034432266,0.021226062,0.038745094,0.040720537,0.020028694
10,10,0.024456292,0.027305463,0.028349001,0.031272627,0.030586112,0.029228,0.030362125,0.026561,0.03051839,0.0359508,0.054734018,0.04510237,0.026709236,0.033753294,0.030046768,0.036229573,0.036884334,0.037806652,0.041806895,0.025912516,0.053429157,0.0427366,0.03793804,0.0380694,0.035256844,0.024400974,0.039416935,0.0419642,0.023212336
7,1,0.031981304,0.05107565,0.037736867,0.04906216,0.037830185,0.038438406,0.025856895,0.04950124,0.029307598,0.046548583,0.031000005,0.033093885,0.027479481,0.043550216,0.036523256,0.042238224,0.03266473,0.023052,0.0310764,0.023586528,0.037377756,0.029842813,0.029618083,0.039515093,0.03502465,0.021574492,0.038334552,0.032431472,0.014677449
28,10,0.028540663,0.030275337,0.031509835,0.03319495,0.032020807,0.031657957,0.03142268,0.029183276,0.032085128,0.034539133,0.046883322,0.040053286,0.029593738,0.033901658,0.033131175,0.03499855,0.035278346,0.036249526,0.038925413,0.029177284,0.0433577,0.040641353,0.03636592,0.036649715,0.035542414,0.028880121,0.038279478,0.039262354,0.028398909
24,10,0.02425429,0.029284116,0.029359655,0.029789828,0.033035826,0.03132971,0.030529983,0.02807275,0.030372543,0.03361173,0.050426986,0.04430972,0.028498761,0.035078846,0.030534618,0.038435478,0.036563337,0.04006708,0.04018876,0.025722407,0.050415505,0.042796742,0.036768854,0.03395823,0.034021206,0.026250135,0.041345242,0.040603906,0.0243738
25,20,0.02691802,0.03138892,0.03167426,0.03232337,0.03148474,0.031040458,0.03302081,0.030253984,0.031744573,0.03720829,0.046440773,0.04374925,0.028190574,0.034970675,0.030960899,0.03956426,0.036280666,0.036737964,0.03803201,0.026806768,0.04778174,0.04022492,0.035709128,0.036703102,0.03344092,0.024661519,0.03942461,0.03986363,0.023399172
16,15,0.027971163,0.038732864,0.036065042,0.037942488,0.033424437,0.032887686,0.033062927,0.034865748,0.03269505,0.04038697,0.039172146,0.041521486,0.028749906,0.035912313,0.030185852,0.045540035,0.03504432,0.0326761,0.035011895,0.02588953,0.043456975,0.03516784,0.03328802,0.03672725,0.032648396,0.023263343,0.040851485,0.03824938,0.018609283
16,10,0.026643917,0.029887306,0.030728748,0.032466155,0.03199329,0.030236064,0.03153564,0.028359802,0.031601645,0.036419567,0.049089175,0.04322711,0.028311007,0.033628825,0.031316485,0.036733102,0.036041226,0.037244968,0.039577983,0.026884584,0.04858039,0.04113468,0.036762755,0.036656518,0.035079315,0.025895445,0.038882926,0.04034984,0.024731474
5,3,0.040290475,0.04088337,0.039433435,0.047879566,0.037376583,0.03367938,0.028482292,0.036502548,0.031176534,0.038925175,0.032218285,0.030424185,0.02639156,0.036775056,0.036969032,0.041523162,0.032988638,0.029519266,0.035651043,0.030686054,0.031212686,0.031872604,0.028714666,0.036558338,0.035218097,0.029231777,0.039444212,0.034939826,0.025032077
18,26,0.034951195,0.03937569,0.039382722,0.041136093,0.03317984,0.0340812,0.031167595,0.03476771,0.03266103,0.036679067,0.036465023,0.036408618,0.02965962,0.034943417,0.03356035,0.040786963,0.032818668,0.032159604,0.034257732,0.03074082,0.03401017,0.03225774,0.032475278,0.037041966,0.033367593,0.029630102,0.041240264,0.037475977,0.023317998
14,20,0.027352666,0.038504183,0.034708366,0.03664616,0.033646412,0.03273906,0.033225454,0.033524815,0.03271787,0.040134672,0.03995495,0.042143356,0.029317228,0.036874887,0.030431127,0.044474788,0.035136472,0.0338318,0.035760146,0.025691103,0.04517531,0.035648406,0.032685567,0.03724359,0.033723935,0.022883091,0.038949616,0.03754003,0.019334927
27,3,0.038670346,0.04233423,0.038072266,0.05012896,0.03729757,0.037872843,0.027664397,0.04333866,0.03126095,0.040408146,0.032262847,0.031113906,0.026615407,0.038139068,0.039122235,0.036983717,0.032434866,0.027922068,0.033609133,0.028983837,0.035003252,0.02963474,0.029440165,0.037286412,0.039099265,0.025284626,0.035796728,0.03355899,0.020660395
21,20,0.022469772,0.029725075,0.02990477,0.03125903,0.029798046,0.028150862,0.032652073,0.029112222,0.031438902,0.03748485,0.05252336,0.048911076,0.024493987,0.03523601,0.028223507,0.042892534,0.036575902,0.03822084,0.039351366,0.023381928,0.059812218,0.04252594,0.034677677,0.037667956,0.03384354,0.01982612,0.040765386,0.0411521,0.017923025
5,3,0.049802516,0.052516755,0.04964792,0.08702392,0.029728917,0.027492773,0.020352814,0.035052504,0.029998511,0.03414176,0.03370695,0.02645794,0.01617412,0.037365917,0.036168173,0.043446913,0.024424559,0.0228173,0.030578608,0.026554715,0.024603425,0.03032936,0.021904288,0.03932905,0.037565462,0.025645202,0.053716753,0.037634853,0.015818072
3,3,0.030047378,0.047182646,0.040443506,0.049709033,0.03174445,0.033666823,0.028036926,0.04002865,0.031202976,0.039318208,0.036777228,0.039063163,0.026353449,0.038027674,0.032796156,0.04791711,0.030680833,0.02779874,0.032164726,0.025683634,0.037559375,0.030216347,0.031193024,0.039392766,0.034550585,0.024438566,0.044478696,0.035691626,0.013835684
16,10,0.023860842,0.026603658,0.027821587,0.029918587,0.031094253,0.02898363,0.030428331,0.027324159,0.030509744,0.036329735,0.05538577,0.046057064,0.026956027,0.03392144,0.029737921,0.035507567,0.03737468,0.03876748,0.04183511,0.024950456,0.054372657,0.04473587,0.03785701,0.035640527,0.033541866,0.023877343,0.039753534,0.042561788,0.024291268
13,20,0.02728245,0.0364708,0.034508582,0.035257135,0.035603967,0.03364806,0.032087486,0.029895842,0.032210317,0.038323775,0.04282914,0.04071848,0.028871655,0.036374364,0.03152842,0.041953176,0.03519202,0.036139287,0.037091993,0.026101418,0.044926506,0.037894733,0.03255457,0.035688702,0.035988495,0.024888502,0.036706083,0.037105497,0.02215854
27,15,0.022501405,0.03849412,0.035365194,0.03980134,0.031122826,0.029616036,0.030401466,0.03218438,0.03007224,0.04393574,0.048174642,0.047654033,0.02281558,0.0344667,0.026069766,0.0537763,0.03633661,0.031537414,0.034689534,0.020123228,0.04734094,0.0380731,0.03337582,0.037383884,0.029542243,0.016538076,0.051454064,0.045085095,0.012068311
26,20,0.027650815,0.036413763,0.03279051,0.036570422,0.034463927,0.03241129,0.031699866,0.031877182,0.03254658,0.0362249,0.042264696,0.040273216,0.029351423,0.0346951,0.033060055,0.038017064,0.03423397,0.035524685,0.03708063,0.028139403,0.043072693,0.03728602,0.034030303,0.037495956,0.037425466,0.02730351,0.03780639,0.036492452,0.023797764
5,1,0.03255353,0.04955215,0.03734573,0.0469274,0.037109032,0.04003452,0.02741205,0.046139773,0.029612388,0.045933858,0.03237124,0.032876395,0.02816232,0.04062406,0.03681025,0.043509297,0.033643767,0.024945455,0.031513494,0.023975987,0.03742274,0.030305326,0.029019102,0.038304776,0.03494182,0.02202303,0.038977034,0.03220523,0.015748192
13,3,0.039577667,0.041476388,0.038683075,0.049827185,0.03702155,0.03618767,0.028151065,0.04006152,0.03137908,0.040362354,0.033043716,0.03033163,0.025690738,0.037738103,0.037462883,0.039752234,0.033502392,0.02845537,0.034482803,0.029814232,0.033013064,0.030372068,0.028523004,0.03697447,0.037827875,0.026587084,0.038080297,0.033568285,0.0220522
2,1,0.028760623,0.047172807,0.03798991,0.04559488,0.033666443,0.03537316,0.030253615,0.03838296,0.032265704,0.041297182,0.036567897,0.037846614,0.02813112,0.038151056,0.031921063,0.046362348,0.033121552,0.02928322,0.03305056,0.025024556,0.03964578,0.031381503,0.029605413,0.04040114,0.035264034,0.02300048,0.03970465,0.035221085,0.015558693
25,20,0.025906116,0.030363072,0.029197387,0.030321086,0.0339438,0.031505343,0.032104857,0.02841345,0.031954233,0.037060753,0.047299694,0.04375672,0.02960517,0.035429165,0.030090012,0.0385177,0.037818033,0.038187936,0.040023148,0.025633158,0.049512625,0.04104692,0.035595402,0.03509273,0.033570338,0.02458052,0.03836759,0.0402264,0.024876647
11,20,0.025286673,0.028246919,0.029133456,0.030678924,0.033054348,0.030453308,0.030908104,0.027991666,0.031819277,0.036111385,0.05041179,0.04427236,0.029000899,0.03319211,0.031014562,0.036075592,0.03708458,0.037907977,0.039818715,0.025865126,0.050909504,0.043129027,0.036914695,0.034749623,0.03363003,0.025993297,0.039571855,0.040708847,0.026065316
13,3,0.029664095,0.04480152,0.037711117,0.046269905,0.036232878,0.034907367,0.028907325,0.038813792,0.031018585,0.03820801,0.03693299,0.03552091,0.027553836,0.037909187,0.034753356,0.039047565,0.031657133,0.028861329,0.035046387,0.026571048,0.04016296,0.03214522,0.030738823,0.04110456,0.041406143,0.025149817,0.036350895,0.034672577,0.017880699
22,20,0.022658903,0.027255567,0.028640272,0.029277965,0.03006771,0.027902683,0.031763036,0.026596326,0.030415285,0.038043614,0.05636229,0.049397998,0.025000444,0.033746444,0.02806073,0.040651042,0.03799453,0.03943899,0.04066309,0.02283111,0.059267715,0.044075992,0.037079796,0.035871934,0.032606564,0.020459138,0.040870193,0.043352723,0.019647975
19,1,0.03394366,0.042553727,0.03665267,0.04219302,0.037278417,0.03623842,0.029745694,0.041821923,0.031440217,0.039509244,0.03314364,0.03342589,0.031477433,0.039432548,0.036863394,0.038185697,0.03223507,0.028277513,0.03303711,0.028850723,0.035101227,0.03215114,0.031808093,0.037247904,0.036044057,0.02811883,0.036803793,0.03368961,0.022729281
8,20,0.02551434,0.03572616,0.033649676,0.0347284,0.032879412,0.03147341,0.032351084,0.03317205,0.031893324,0.039379463,0.043070912,0.044939697,0.028563095,0.036887612,0.029629584,0.045037962,0.0352763,0.034500327,0.03661672,0.025198897,0.049627688,0.037482817,0.03365689,0.03646036,0.033233956,0.022324836,0.039897542,0.038122114,0.018705351
13,20,0.027686713,0.034510143,0.03371836,0.03524969,0.03213033,0.0308035,0.032541946,0.03202343,0.032866094,0.03652395,0.042997897,0.042927008,0.02900427,0.03491419,0.030694915,0.041408136,0.035054304,0.03570906,0.03721259,0.028091803,0.04531454,0.037008435,0.03412014,0.037411302,0.034284472,0.025313836,0.039868843,0.038959656,0.021650411
5,20,0.02290975,0.028944453,0.029656155,0.030636622,0.029997224,0.028850324,0.032376572,0.028536372,0.030541731,0.037471544,0.05302097,0.048655618,0.024951853,0.035489514,0.028454045,0.042250108,0.03627047,0.03868174,0.039993413,0.024156002,0.057936832,0.042182937,0.03583866,0.03766049,0.03378328,0.020666528,0.040305607,0.04103839,0.018742869
13,3,0.03657462,0.043724578,0.037686277,0.048287775,0.03683892,0.038357504,0.027787102,0.04271762,0.030640341,0.039279234,0.032632526,0.031979553,0.02703465,0.038550068,0.038711302,0.0374012,0.03243902,0.02743223,0.033465873,0.02949045,0.035688512,0.030081918,0.030321565,0.03873699,0.039841793,0.025577968,0.035829492,0.032622587,0.02026824
5,15,0.031394165,0.04232671,0.039379608,0.04230842,0.033479653,0.034234107,0.030131813,0.03419529,0.032712538,0.037212178,0.03870388,0.038595922,0.0274176,0.035634235,0.033343945,0.045146246,0.03281084,0.031820457,0.034454964,0.027335959,0.037596367,0.032868553,0.030203717,0.038675006,0.034070704,0.02586201,0.042639725,0.036131807,0.019313598
4,3,0.035935167,0.048060585,0.040364485,0.049372423,0.037146773,0.038237933,0.026337214,0.043085363,0.029760135,0.040981773,0.032071594,0.03199302,0.027788788,0.037276305,0.03709206,0.041861452,0.0325001,0.026712295,0.032618534,0.027966442,0.033516526,0.028856544,0.02920191,0.041130703,0.036205813,0.024988787,0.036585547,0.03418698,0.018164732
25,20,0.024244927,0.027412402,0.028654996,0.030031275,0.031001987,0.029184164,0.03174337,0.02706465,0.030802067,0.037281968,0.05396023,0.04631754,0.026583891,0.03431964,0.029594537,0.037950657,0.03720281,0.038542934,0.041059565,0.024747433,0.055299066,0.043386575,0.037306566,0.036200583,0.034060627,0.023018377,0.039080177,0.041592453,0.022354648
16,3,0.04000008,0.038386755,0.03789497,0.04873247,0.03776937,0.03358516,0.02936223,0.037028395,0.032022253,0.03876574,0.032647777,0.03005564,0.027533442,0.03745045,0.036552634,0.037575077,0.033037487,0.029721556,0.035674438,0.031016786,0.03352048,0.03234918,0.029304514,0.035554893,0.03633783,0.028647056,0.036902763,0.036583193,0.025987376
18,3,0.0318071,0.044970468,0.037443362,0.04503716,0.03609934,0.03791676,0.029263472,0.040527843,0.03094134,0.038886834,0.035305284,0.03346096,0.02776911,0.03895147,0.036271464,0.040496293,0.03251387,0.029283114,0.034081113,0.027907597,0.037681863,0.030374022,0.029334832,0.040950466,0.040006034,0.02525574,0.036590282,0.032923117,0.017949732
14,10,0.02559921,0.027769277,0.029021813,0.03031356,0.033408433,0.031118494,0.02632474,0.025511168,0.02872877,0.03551764,0.055804048,0.044229876,0.028584404,0.032343,0.03235654,0.034142207,0.036042888,0.03649954,0.04323433,0.026032798,0.048811395,0.0430965,0.0379396,0.036652684,0.034728717,0.02646628,0.042518053,0.04163919,0.025564894
13,1,0.02923233,0.042995144,0.036461487,0.04203232,0.035517838,0.03631916,0.030212775,0.038110238,0.031755812,0.039044727,0.0371279,0.036085427,0.028814778,0.0387527,0.034244843,0.04128934,0.03325313,0.030826205,0.034198437,0.026699902,0.041255202,0.032983758,0.030198775,0.03946527,0.03836371,0.02523852,0.037148744,0.03366407,0.01870742
19,20,0.027714869,0.035924975,0.03423902,0.03545785,0.032808352,0.03259238,0.033155717,0.032134835,0.032425866,0.03810672,0.04197338,0.0415519,0.02920144,0.036570936,0.03126315,0.042507924,0.034750737,0.03487286,0.03631296,0.026901623,0.04529152,0.03742329,0.033576895,0.03716776,0.03474841,0.024695145,0.038194597,0.03724261,0.021192262
7,1,0.029621571,0.04690583,0.03799832,0.046371263,0.034624718,0.036085397,0.029293487,0.040412758,0.03220491,0.041085362,0.035129756,0.036028083,0.02812741,0.039137807,0.033244666,0.04497826,0.033319358,0.028348759,0.032747615,0.025036244,0.039812114,0.03147796,0.02963667,0.039442085,0.03642163,0.023718983,0.038651966,0.03377988,0.016357152
2,15,0.028921677,0.04286167,0.038332984,0.043580122,0.033900365,0.03379419,0.030872166,0.035327714,0.03260653,0.04032947,0.038470905,0.039188005,0.027498743,0.036043424,0.031046381,0.04617419,0.033717237,0.03107374,0.034444045,0.025544323,0.04052025,0.03299129,0.03100066,0.03869852,0.034678537,0.023186026,0.040902883,0.037203062,0.017090904
23,10,0.026048081,0.02785813,0.029899327,0.030529194,0.031933453,0.0313864,0.031349417,0.027383342,0.031668797,0.03505356,0.051679887,0.043157697,0.028193358,0.034378424,0.031353567,0.036284313,0.03648439,0.03873677,0.040713858,0.026062058,0.04888344,0.042987984,0.036306273,0.035512827,0.034271292,0.025664026,0.038980514,0.0413937,0.025845846
14,3,0.037242122,0.046432573,0.04424099,0.056128517,0.031843908,0.034055892,0.02719315,0.038518637,0.03245927,0.03594724,0.034321778,0.033295214,0.024320925,0.037249994,0.03386267,0.04639685,0.030467944,0.028440941,0.03235614,0.028536579,0.032390054,0.028833186,0.02755829,0.037576966,0.035027385,0.027553357,0.044360925,0.03574101,0.017647577
28,20,0.02280321,0.02657208,0.027581744,0.029191334,0.030651638,0.028339356,0.031277314,0.02635312,0.030251088,0.037490163,0.057024896,0.04787697,0.025659109,0.034292143,0.028852668,0.03797632,0.037567362,0.03932509,0.041562133,0.023449872,0.058843303,0.04491722,0.037497487,0.0360164,0.033846647,0.021876741,0.039405167,0.042294122,0.0212053
