truth,predict,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28
24,24,5.433328e-05,4.4563293e-15,2.3070127e-17,2.4334417e-08,1.1702205e-11,0.03493536,0.0106584225,5.59209e-08,2.1547969e-07,0.00028920392,1.2946477e-13,1.8404099e-09,1.711276e-07,3.0864925e-05,5.0411167e-08,6.5233326e-11,3.0967944e-18,2.6831208e-18,5.762039e-07,1.9343587e-09,9.308142e-16,3.413769e-12,2.4863016e-07,5.268045e-07,0.95403,1.14191165e-11,7.845689e-09,2.5064957e-12,3.4555452e-23
15,15,1.4642877e-11,1.3468744e-38,3.644454e-13,2.43726e-20,6.099125e-27,3.7062145e-19,1.010254e-28,3.3279972e-21,1.0789518e-28,2.1293946e-28,7.228929e-33,5.7159536e-27,6.786233e-08,2.3626698e-09,3.5532519e-10,0.97819257,0.021488806,2.2312149e-14,0.00012115324,5.2340224e-06,6.176006e-14,3.88501e-13,3.3178125e-17,5.179029e-07,0.00011444029,6.9301685e-05,1.2249418e-06,6.820602e-06,1.5640002e-15
11,11,2.2648508e-11,2.4674937e-17,4.4701626e-08,3.613438e-07,2.4472669e-15,8.639462e-10,1.7252797e-15,2.7419878e-32,6.446129e-11,1.0869788e-16,0.00061848835,0.9703227,1.1398917e-16,2.3558162e-20,1.2314194e-05,4.7669173e-32,1.1304299e-24,3.2489183e-07,1.5443609e-08,1.3042462e-07,1.1771282e-05,0.022802379,1.4070387e-05,0.006217229,8.308662e-14,2.3437153e-07,1.8937531e-20,4.0952595e-15,2.0391715e-26
26,26,2.10291e-21,3.7413826e-37,1.9244193e-33,2.006029e-21,7.90411e-24,2.0045496e-24,2.967106e-06,1.685587e-09,3.24101e-15,1.1335108e-18,2.3895087e-21,3.6121563e-18,9.9810416e-21,9.561654e-21,2.4493201e-14,4.9227388e-23,3.8582205e-36,1.3833631e-29,4.5733834e-22,7.1964775e-15,6.767004e-27,5.0227064e-22,1.1991665e-14,1.5441839e-21,1.961021e-10,2.9696384e-31,0.999997,5.200269e-09,2.9769133e-28
7,7,1.0207944e-24,2.3587683e-32,0.0,8.524931e-31,3.464043e-24,3.318205e-12,5.364383e-06,0.9999939,1.5434729e-13,6.822585e-07,1.811468e-21,7.489029e-33,1.0740268e-18,2.751081e-17,1.3803704e-21,1.94867e-21,1.4616586e-37,0.0,3.4585546e-36,3.731897e-27,6.8075075e-33,1.3512591e-33,2.4547585e-20,2.626458e-20,3.9431986e-14,0.0,1.5361516e-16,3.0576706e-32,0.0
10,10,1.7717402e-06,3.604528e-05,2.0884841e-10,6.3996597e-10,8.0798515e-08,1.7986758e-11,2.0395392e-11,1.8731242e-20,6.966756e-08,7.565466e-17,0.9614275,2.3637852e-09,3.6686828e-07,1.9385372e-10,4.0520814e-10,7.2352764e-19,9.492613e-19,0.0020337286,3.0955604e-07,1.3906318e-07,0.017416509,0.01786018,0.0006882105,0.00053496775,1.8714649e-15,5.464377e-09,2.3817919e-21,1.8384806e-11,2.5827812e-19
7,7,1.0620861e-11,1.5347073e-23,5.2094903e-28,1.9782452e-18,1.3427682e-16,6.6674115e-06,1.4535619e-05,0.9998616,2.364728e-08,0.00010845365,5.2276686e-12,7.206449e-19,8.322502e-06,8.5969765e-10,9.722008e-11,1.6523676e-12,3.363547e-23,6.43995e-23,1.0454966e-18,1.5375335e-13,3.5657684e-24,4.3929805e-19,1.0711724e-10,3.9273962e-10,3.5454943e-07,3.1256207e-21,5.4947186e-08,1.8391873e-16,2.601346e-26
23,23,3.9283536e-06,5.749479e-08,1.1391859e-08,1.385122e-05,0.0047343234,1.1972382e-08,3.7066187e-11,5.756486e-17,3.2311045e-06,2.9194015e-12,4.3073073e-06,0.0004507612,3.206608e-06,3.7607373e-07,0.0048097703,1.267905e-15,2.0868834e-16,8.983888e-08,0.0014578042,0.00028344482,2.0400526e-06,5.2464287e-07,4.5920247e-11,0.9882293,4.3663277e-09,2.938578e-06,1.4736565e-12,2.187386e-08,5.158592e-22
20,20,1.5839828e-10,1.8029913e-11,5.5459828e-11,2.026124e-05,7.12667e-08,8.383755e-17,8.909261e-16,1.075941e-24,4.48967e-08,1.0837916e-18,8.95467e-05,2.2886674e-07,1.2963165e-12,3.7769436e-14,1.252974e-06,7.1311025e-23,1.0186957e-17,0.002424414,1.3819836e-09,8.848896e-10,0.993934,0.003527317,2.3004447e-09,2.83049e-06,4.9067007e-17,6.7998485e-08,1.3981222e-20,5.3285796e-14,6.259092e-20
5,5,3.37253e-17,5.4599775e-31,2.7104875e-36,1.2449067e-20,3.6515149e-25,0.9851429,2.744439e-12,8.687229e-15,9.61237e-14,0.014857122,2.3817154e-30,5.3087966e-30,1.6067478e-09,9.423527e-09,4.3031543e-09,2.8989906e-21,5.650058e-32,1.5154906e-34,2.247308e-18,3.188584e-22,3.046719e-34,2.8257043e-30,1.6421842e-19,3.6883435e-12,4.2545172e-11,6.689026e-28,8.959102e-21,7.147544e-33,0.0
8,8,8.74269e-20,6.494787e-27,9.143381e-33,1.7912066e-15,6.014584e-12,1.12673e-08,2.3685956e-11,9.276918e-19,1.0,2.1340514e-15,1.017484e-17,3.205805e-14,4.3299977e-18,2.3480006e-17,1.160115e-12,8.2497293e-29,1.0284282e-35,4.7336793e-30,2.0141583e-18,1.2984737e-13,6.071341e-26,2.091211e-15,3.9017699e-13,6.502791e-13,2.9734e-12,2.616831e-29,4.9703496e-20,8.99385e-22,2.051885e-35
27,27,0.004547196,3.1167455e-19,2.4760399e-11,2.7669078e-16,5.389497e-06,3.032575e-10,5.545337e-19,1.287039e-19,1.6850363e-07,2.1798836e-09,1.5001262e-13,2.614211e-06,0.0011639843,0.050776593,7.4423275e-07,3.1919712e-12,2.9061777e-09,1.3499654e-05,0.0066784397,0.36139563,6.4801164e-11,5.7704625e-08,7.9563534e-08,6.9742186e-05,1.7179116e-11,3.2831405e-05,2.203089e-14,0.57531303,1.0923655e-21
13,13,1.47892e-13,9.142237e-38,3.1893697e-16,1.0921981e-21,3.9013355e-17,1.8761372e-22,1.590378e-26,6.1154615e-24,1.6654521e-23,6.6595267e-31,1.8508322e-28,7.908587e-18,4.6007186e-05,0.3009182,6.280597e-05,4.1652875e-05,1.0033676e-06,1.0015923e-06,0.006700502,0.29833278,1.3083753e-09,4.2603147e-06,2.6875603e-07,0.26314923,0.006298118,0.12443265,3.8286632e-07,1.1172509e-05,1.8475437e-22
4,4,0.0047544693,0.00033585646,1.3019549e-08,0.0141084045,0.90632147,0.011933202,3.2540684e-05,1.110681e-08,0.012800002,4.8953975e-08,1.5036804e-06,4.9735563e-06,0.011661667,0.0002626763,0.036537845,6.340316e-11,7.20141e-14,1.8706511e-07,0.00011910768,0.00051447476,6.065159e-09,6.3275684e-06,1.2273507e-05,0.0005929324,3.650699e-08,1.0199163e-08,1.8396411e-11,1.0309039e-08,2.4077547e-20
25,25,5.3121717e-12,0.0,2.6204464e-13,1.1560824e-24,2.2478176e-20,1.640564e-11,4.222492e-29,2.729761e-23,4.659054e-25,5.044823e-28,1.398293e-33,5.451823e-20,3.0683879e-07,5.826465e-07,4.8140136e-10,0.0004152208,1.0164491e-06,1.7773396e-16,0.0058479314,0.01070213,1.6402969e-20,4.1400395e-14,3.2768357e-13,1.824705e-08,0.0009377978,0.98209494,7.54957e-16,8.816009e-09,1.719593e-28
15,15,1.2299812e-12,0.0,9.305043e-12,3.0695256e-23,7.996972e-28,5.1805235e-25,3.9171877e-30,1.7174791e-23,1.7537395e-31,2.0788368e-33,3.014846e-37,8.07652e-30,9.292463e-13,3.5811264e-11,2.6813107e-11,0.99709976,0.0028607708,1.1412328e-15,1.5402557e-07,2.3982032e-08,1.3209506e-18,2.6166803e-12,6.661887e-15,4.0495337e-08,3.873115e-05,9.5409625e-08,6.127918e-08,4.982363e-07,3.673861e-19
22,22,3.182983e-11,4.2799287e-15,2.2809633e-10,4.52019e-10,1.6618213e-08,2.1445212e-06,6.0340284e-09,2.3578096e-16,0.0006644206,1.1399579e-12,0.050984137,3.5247454e-06,1.2356476e-10,6.1368516e-13,1.753724e-08,7.1460045e-19,8.4496625e-17,3.4186098e-05,3.9245997e-08,1.1286173e-08,0.0002691269,0.0005647858,0.9457259,0.0017516013,8.61098e-09,4.529187e-08,1.8740872e-14,2.1064021e-10,3.093835e-17
5,5,2.4921668e-08,1.1633623e-14,8.162523e-28,5.1401254e-15,1.984819e-08,0.99745136,4.18692e-05,8.189961e-06,0.000772247,2.1416907e-10,8.996844e-13,1.1494448e-14,0.000942781,0.0007797487,1.2897055e-11,3.321711e-18,2.2327795e-27,9.649773e-21,2.8715067e-14,5.0267065e-12,2.490663e-21,6.4029215e-15,3.0328385e-06,6.0388317e-07,3.7113498e-08,8.929523e-20,6.560356e-18,5.8968395e-18,6.589871e-35
12,12,7.6651595e-08,1.0122163e-14,1.6006175e-16,2.2060946e-10,4.0667386e-11,2.214008e-09,3.0642934e-12,3.3427264e-15,4.3011017e-08,9.615176e-09,1.5651776e-12,1.9206286e-11,0.9803774,0.013355821,0.0003451267,1.3843893e-09,2.6422842e-10,2.417564e-06,0.0050051957,0.00024732106,8.462425e-06,0.00015237473,0.00015830509,0.00034166715,5.6980293e-06,1.5279837e-09,1.0252446e-10,1.6941716e-09,9.57919e-16
18,13,6.495841e-08,9.690577e-12,7.964617e-14,2.7774976e-07,2.7072844e-09,7.145258e-09,6.597816e-13,4.0751253e-11,7.750156e-10,1.0785581e-10,6.3711376e-11,1.5468819e-11,0.13061172,0.6948737,0.039397657,4.1891056e-08,2.3556865e-08,1.6987677e-06,0.024738729,0.1039699,1.8147513e-05,1.7698276e-05,4.4787124e-05,0.0053624925,0.000944184,2.3649335e-08,8.717844e-09,1.879817e-05,1.4849457e-11
25,25,2.6929554e-05,5.0213142e-24,9.115869e-05,6.4020187e-13,2.1161333e-16,0.004510467,9.396136e-15,5.6756595e-14,6.9689317e-09,4.2029977e-11,1.5715948e-14,6.3634404e-09,5.0965374e-09,3.1292438e-09,1.4819138e-08,2.0614231e-13,7.020399e-06,5.3111465e-13,0.027306356,0.030074311,9.739475e-11,1.4376857e-07,2.928508e-14,5.0248112e-09,2.7488753e-07,0.9379299,6.669178e-11,5.326294e-05,2.4631848e-13
20,20,1.3669853e-20,3.685616e-18,1.7144154e-18,2.5192293e-09,1.7838247e-19,5.951664e-25,4.1203674e-16,3.0404193e-30,3.2119305e-18,8.236613e-22,1.8242798e-10,5.942024e-17,2.417305e-20,1.2319582e-18,5.694153e-09,5.0857083e-22,8.970551e-29,1.5713242e-05,3.108204e-10,2.415327e-17,0.9992028,0.0003978773,9.8285476e-08,0.00038348968,3.156962e-19,2.6794381e-22,3.0153088e-15,2.976768e-17,2.8153178e-24
6,6,2.0869205e-23,0.0,0.0,1.4134472e-34,1.9673132e-30,1.5198319e-13,0.9999796,2.6755885e-08,3.931676e-17,2.040568e-05,6.5429835e-31,4.643966e-34,6.7407147e-18,1.35727645e-14,9.324861e-22,2.1211528e-22,0.0,0.0,0.0,2.9167972e-31,0.0,0.0,6.3774553e-25,4.6997412e-29,6.0801693e-09,0.0,4.9866074e-17,1.6208505e-37,0.0
25,25,1.1234344e-12,2.0732502e-29,9.689931e-13,2.6526135e-17,2.665127e-19,2.707386e-19,3.637299e-26,3.7183304e-19,1.2592012e-25,3.469203e-24,6.7265596e-26,1.0669382e-19,2.1502697e-11,2.0847054e-07,3.107998e-07,2.2555838e-05,1.1314373e-06,9.264999e-09,0.0003094814,0.005620177,1.3390427e-07,1.4541449e-09,9.1718594e-10,9.974392e-07,6.8994006e-05,0.9937052,1.16715206e-07,0.00027068023,1.6137682e-14
13,13,2.0784084e-14,1.0812072e-25,8.1406717e-26,1.1482806e-19,8.336979e-15,2.0280174e-14,3.3308974e-26,2.659996e-16,2.1813241e-19,1.4108738e-20,4.088348e-25,1.5967418e-21,0.00085439935,0.99041814,0.0027485194,2.1692995e-12,6.9067975e-24,4.5700688e-10,4.2264762e-07,8.622448e-05,9.9701877e-14,5.592196e-09,1.2766281e-05,0.0058790455,8.072462e-09,4.480785e-07,7.2423196e-17,9.510313e-15,4.589917e-36
19,19,5.4059923e-10,2.0483729e-20,1.8964709e-16,1.4748498e-17,6.764609e-08,2.1754264e-16,5.408816e-22,0.0,1.3347952e-06,1.2582685e-29,6.269798e-12,1.3970516e-05,1.1077272e-14,2.5791052e-19,2.829145e-10,5.2077104e-34,1.7236304e-31,3.8233874e-11,4.0511566e-10,0.99896646,3.715696e-12,0.0009992127,3.7229754e-08,1.8948744e-05,3.3953099e-18,1.873143e-09,4.643686e-27,1.2467071e-20,0.0
22,22,1.6035376e-11,3.3483595e-21,8.862019e-11,3.4184797e-13,8.507928e-09,1.743514e-08,1.766242e-14,6.810609e-20,0.0017115918,3.1149099e-15,0.0015595059,8.3407485e-08,2.6596834e-11,1.7078695e-14,2.4804822e-12,3.879583e-24,1.5527292e-15,0.001218786,2.6375466e-07,4.3829322e-09,0.00047565467,0.004424693,0.98702747,0.0033460644,1.5059468e-12,0.00023595999,7.123021e-18,6.5880387e-12,8.171717e-20
11,11,4.1145546e-07,1.1401138e-07,4.0645362e-11,2.0908655e-13,1.3982383e-06,1.2096451e-06,3.781065e-14,1.6190353e-22,0.00018582337,3.7346326e-15,0.0014458413,0.99829966,5.9719306e-16,3.2782454e-16,2.2008554e-12,3.646799e-22,1.1037144e-24,1.593107e-08,1.2915206e-16,6.056759e-09,2.3354924e-14,4.738113e-11,6.55535e-05,7.75302e-14,3.703214e-20,2.643133e-12,5.7931006e-30,3.2280365e-16,5.5970814e-27
25,18,0.039303053,1.3633688e-24,7.730284e-10,1.682618e-16,1.0013598e-06,6.231208e-16,2.4109445e-18,1.8135241e-30,5.875601e-09,3.2360515e-16,4.213965e-15,5.055303e-07,2.0421142e-07,8.4381857e-10,4.7625817e-06,3.8549462e-16,3.259502e-10,1.1669744e-09,0.9568274,0.0003725598,2.3428577e-12,6.730717e-10,1.0831894e-12,9.832709e-07,3.6146028e-07,0.0034891427,2.3678206e-13,2.7673075e-09,1.00820934e-28
15,15,8.861688e-15,0.0,2.2945153e-12,5.6798257e-23,9.926302e-27,7.4596344e-25,5.54963e-30,3.6763054e-22,5.758821e-32,5.923444e-35,2.1949123e-37,1.1448701e-27,4.6829454e-12,6.646033e-10,4.401854e-09,0.9988348,7.691268e-05,4.900297e-15,1.190471e-06,1.7343924e-05,4.2395695e-18,7.6512706e-11,1.5426426e-13,8.3512805e-06,0.000883103,0.00017734332,3.5302293e-07,6.0671135e-07,1.1570844e-20
28,28,5.56928e-11,5.4170187e-16,8.772335e-09,2.7420056e-11,4.1782837e-19,9.248399e-08,8.851357e-10,6.672231e-08,4.399552e-10,8.032355e-09,1.2639162e-10,3.9990394e-12,3.2181946e-12,2.9579155e-09,3.846541e-13,6.301109e-09,1.8657423e-07,1.5516713e-11,6.754745e-08,1.1696624e-11,7.485001e-11,0.00017707936,8.039305e-11,2.411976e-07,2.6559077e-05,1.89653e-11,1.6661079e-07,4.0704573e-10,0.9997955
9,9,1.0108379e-24,0.0,0.0,1.4375408e-38,3.3413803e-35,1.3748007e-13,1.161886e-13,1.0994457e-16,9.912169e-13,1.0,4.325416e-37,0.0,3.362349e-13,1.3726033e-12,4.531478e-21,7.7264123e-20,0.0,0.0,0.0,9.730235e-30,0.0,4.2617365e-37,1.4828395e-23,2.789351e-25,4.3534567e-15,0.0,9.812876e-22,0.0,0.0
4,4,7.161744e-05,8.581582e-06,1.7499194e-26,1.0660568e-14,0.9992424,1.4959715e-08,1.1107679e-09,5.444931e-21,0.00067745236,1.098856e-12,8.740245e-10,2.1801964e-14,4.349472e-14,2.6149358e-16,6.0905226e-14,9.832606e-28,6.377099e-35,5.0696276e-19,1.4144606e-14,7.324089e-14,8.136646e-18,7.1488535e-20,6.050655e-11,3.4717034e-15,3.1133813e-22,6.098325e-17,9.9387334e-26,3.716736e-20,0.0
12,12,0.05819439,9.890593e-05,1.0201065e-05,0.00049131847,0.05754763,0.0008825383,4.702986e-11,2.3425226e-13,0.0021542588,1.6563273e-12,4.598116e-08,6.661236e-09,0.8699698,7.148307e-08,0.007177131,4.6725075e-14,2.9275695e-17,1.6747391e-09,0.00071607804,3.6526195e-05,1.4072052e-10,6.7720904e-08,0.00056699564,1.6718055e-06,1.9018667e-12,0.0021522893,6.5441163e-17,3.3045834e-13,4.0556214e-25
11,11,1.2133167e-08,1.6629079e-16,2.1331876e-17,4.6672575e-19,1.1574176e-07,1.1387787e-10,1.8486844e-18,1.3878467e-34,6.3008985e-09,1.4050113e-17,3.8128253e-10,0.99974495,9.764895e-15,3.6247077e-15,6.5348122e-09,1.1421986e-28,1.579941e-28,5.0767004e-14,6.5331e-14,6.970743e-05,3.8362317e-15,6.774967e-09,2.771647e-12,0.00018524831,1.3511824e-15,3.2545804e-12,1.9175636e-29,8.780936e-19,0.0
