,class,precision,recall,f1-score,accuracy
0,A,0.8774834,0.9298246,0.90289617,0.99344826
1,B,0.9794521,0.9377049,0.958124,0.99712646
2,C,0.98634815,0.9763514,0.98132426,0.9987356
3,D,0.96153843,0.9584665,0.96000004,0.99712646
4,E,0.93333334,0.8513514,0.8904594,0.99287355
5,F,0.98045605,0.9836601,0.9820555,0.9987356
6,G,0.9268293,0.95,0.9382716,0.995977
7,H,0.9161491,0.9966216,0.95469254,0.9967816
8,I,0.89354837,0.92333335,0.90819675,0.99356323
9,J,0.9376947,0.95555556,0.9465409,0.99609196
10,K,0.8011364,0.9126214,0.85325265,0.9888506
11,L,0.9614035,0.9856115,0.97335696,0.9982759
12,M,0.84918034,0.89619374,0.8720539,0.99126434
13,N,0.9586466,0.82258064,0.8854167,0.9924138
14,O,0.90909094,0.9287926,0.91883624,0.99390805
15,P,0.9611651,0.9611651,0.9611651,0.9972414
16,Q,0.9932203,0.9482201,0.97019875,0.99793106
17,R,0.94693875,0.75816995,0.84210527,0.99
18,S,0.9314079,0.83766234,0.8820513,0.99206895
19,T,0.9489796,0.9029126,0.92537314,0.99482757
20,U,0.8549618,0.7804878,0.8160291,0.9883908
21,V,0.84814817,0.7684564,0.806338,0.9873563
22,W,0.82903224,0.9379562,0.88013697,0.991954
23,X,0.83433735,0.9421769,0.884984,0.99172413
24,Y,0.85958904,0.9330855,0.89483064,0.99321836
25,Z,0.959375,0.9219219,0.94027567,0.99551725
26,space,0.85519123,0.9873817,0.9165446,0.99344826
27,del,0.98920864,0.94827586,0.9683099,0.99793106
28,nothing,0.9932432,0.9932432,0.9932432,0.9995402
