	                                	
----------------------------------------------------------------

	                                	ImageProcessingApp
	                                	2023.07.27.02.42.25.497233
	                                	
----------------------------------------------------------------

	2023.07.27.02.42.25.576365      	Intializing StrategyManager ... 
	2023.07.27.02.42.25.577362      	Basic Train-Test is enabled w/ 20.0% test ratio
	2023.07.27.02.42.25.577362      	Intializing SampleManager ... 
	2023.07.27.02.42.25.577362      	Loading samples from file: C:\Users\lando\Documents\GitHub\Buell-Masters-Project\inputFiles\allSamples.csv
	2023.07.27.02.42.25.684136      		Found 87000 samples in file
	2023.07.27.02.42.29.208712      	Finished reading all input files. Sample Database has 87000 items
	2023.07.27.02.42.29.208712      	Intializing DataManager ... 
	2023.07.27.02.42.29.210706      		Data manager has 2 folds...
	2023.07.27.02.42.29.210706      			Fold #0 has 69600 samples for training. (80.0% of dataset)
	2023.07.27.02.42.29.210706      			Fold #1 has 17400 samples for testing. (20.0% of dataset)
	2023.07.27.02.42.29.210706      	Intializing AugmentationManager ... 
	2023.07.27.02.42.29.210706      	Intializing PreprocessManager ... 
	2023.07.27.02.42.29.210706      	Intializing ClassificationManager ... 
	2023.07.27.02.42.29.339364      	Intializing SegmentationManager ... 
	2023.07.27.02.42.29.342361      	Running Train/Test Split
	2023.07.27.02.42.29.342361      			Retreving batch #0 w/ 128 samples
	2023.07.27.02.42.30.441226      			Retreving batch #1 w/ 128 samples
	2023.07.27.02.42.30.864112      			Retreving batch #2 w/ 128 samples
	2023.07.27.02.42.31.308853      			Retreving batch #3 w/ 128 samples
	2023.07.27.02.42.31.744698      			Retreving batch #4 w/ 128 samples
	2023.07.27.02.42.32.172423      			Retreving batch #5 w/ 128 samples
	2023.07.27.02.42.32.613244      			Retreving batch #6 w/ 128 samples
	2023.07.27.02.42.33.039106      			Retreving batch #7 w/ 128 samples
	2023.07.27.02.42.33.517826      			Retreving batch #8 w/ 128 samples
	2023.07.27.02.42.33.941948      			Retreving batch #9 w/ 128 samples
	2023.07.27.02.42.34.405079      			Retreving batch #10 w/ 128 samples
	2023.07.27.02.42.34.831843      			Retreving batch #11 w/ 128 samples
	2023.07.27.02.42.35.275661      			Retreving batch #12 w/ 128 samples
	2023.07.27.02.42.35.711710      			Retreving batch #13 w/ 128 samples
	2023.07.27.02.42.36.135090      			Retreving batch #14 w/ 128 samples
	2023.07.27.02.42.36.587880      			Retreving batch #15 w/ 128 samples
	2023.07.27.02.42.37.016733      			Retreving batch #16 w/ 128 samples
	2023.07.27.02.42.37.512407      			Retreving batch #17 w/ 128 samples
	2023.07.27.02.42.37.943255      			Retreving batch #18 w/ 128 samples
	2023.07.27.02.42.38.375122      			Retreving batch #19 w/ 128 samples
	2023.07.27.02.42.38.800486      			Retreving batch #20 w/ 128 samples
	2023.07.27.02.42.39.231047      			Retreving batch #21 w/ 128 samples
	2023.07.27.02.42.39.678849      			Retreving batch #22 w/ 128 samples
	2023.07.27.02.42.40.105434      			Retreving batch #23 w/ 128 samples
	2023.07.27.02.42.40.596121      			Retreving batch #24 w/ 128 samples
	2023.07.27.02.42.41.020452      			Retreving batch #25 w/ 128 samples
