,class,precision,recall,f1-score,accuracy
0,A,0.0,0.0,,0.97011495
1,B,0.0,0.0,,0.9632184
2,C,0.375,0.05882353,0.10169492,0.96954024
3,D,0.0,0.0,,0.9649425
4,E,0.11,0.17460318,0.13496932,0.9189655
5,F,0.11188811,0.27118644,0.15841584,0.90229887
6,G,0.09090909,0.04477612,0.060000002,0.94597703
7,H,0.0,0.0,,0.9672414
8,I,0.0,0.0,,0.9551724
9,J,0.0,0.0,,0.9735632
10,K,0.0,0.0,,0.9649425
11,L,0.061764706,0.6666667,0.11305518,0.62126434
12,M,0.0,0.0,,0.9718391
13,N,0.0,0.0,,0.9672414
14,O,0.034722224,0.09259259,0.050505053,0.891954
15,P,0.0,0.0,,0.95689654
16,Q,0.07692308,0.0625,0.068965524,0.93793106
17,R,0.0,0.0,,0.9551724
18,S,0.0,0.0,,0.9632184
19,T,0.0,0.0,,0.9678161
20,U,0.0,0.0,,0.9632184
21,V,0.0,0.0,,0.9626437
22,W,0.0,0.0,,0.95632184
23,X,0.0,0.0,,0.9626437
24,Y,0.0,0.0,,0.96149427
25,Z,0.0,0.0,,0.9632184
26,space,0.0,0.0,,0.9729885
27,del,0.054744527,0.5555556,0.09966777,0.68850577
28,nothing,0.0,0.0,,0.97068965
