truth,predict,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28
23,27,0.027633391,0.033267017,0.030257551,0.027224364,0.038589858,0.041940108,0.036636144,0.030149397,0.039872,0.03085926,0.036196828,0.032236256,0.04013303,0.03244114,0.040709626,0.035043117,0.038346756,0.026761912,0.029700415,0.037276246,0.03541595,0.03598723,0.036833376,0.026848586,0.03471631,0.033161096,0.037325636,0.051024523,0.023412876
7,11,0.039029997,0.03129277,0.03345789,0.034623478,0.043620586,0.049910575,0.04619716,0.04051456,0.045883954,0.04416797,0.0485493,0.058557283,0.032309934,0.04957483,0.04380975,0.027144631,0.027066808,0.020099979,0.015674682,0.027780663,0.027471507,0.030315347,0.03309381,0.022569684,0.028497174,0.025184197,0.035759546,0.03003222,0.007809682
26,11,0.028557487,0.03826994,0.044997454,0.03686591,0.03817836,0.03931766,0.04222427,0.02989467,0.03124557,0.031926207,0.04573062,0.055624023,0.039677158,0.031476147,0.043690883,0.021027733,0.041334055,0.024781212,0.017107897,0.029869042,0.034493543,0.03212626,0.032536454,0.028642982,0.032256674,0.032660425,0.035227153,0.04050699,0.019753177
0,11,0.051650237,0.022477254,0.050201666,0.046633713,0.05616851,0.04043301,0.025228756,0.034745365,0.038536534,0.039051946,0.05622666,0.119714215,0.031506885,0.03857972,0.060535062,0.020080907,0.014528114,0.0123903295,0.011677264,0.024863051,0.011381714,0.031892363,0.037157066,0.027877737,0.020882865,0.03159376,0.022732645,0.017759858,0.0034927838
27,14,0.032479562,0.030544866,0.029716298,0.028561885,0.047554377,0.040505935,0.029564712,0.030875294,0.040786367,0.032333523,0.037964024,0.037797622,0.036092803,0.031401202,0.054381747,0.037534304,0.029883875,0.021513661,0.030677179,0.037207898,0.028495513,0.039132107,0.041484986,0.029969051,0.03559903,0.035930283,0.03208066,0.043896854,0.016034424
18,27,0.023458539,0.03410379,0.03192131,0.023493877,0.03511275,0.04311042,0.032719593,0.023612335,0.031913217,0.027941577,0.03635626,0.027245583,0.039725386,0.025732193,0.03526272,0.03390446,0.049562566,0.024190895,0.03152497,0.037088536,0.03996853,0.041807715,0.039823674,0.029293029,0.03699546,0.03359119,0.042355414,0.05062943,0.037554566
1,27,0.023103366,0.03284757,0.034735546,0.025973625,0.035084073,0.04470123,0.03212249,0.024647132,0.03144454,0.024763556,0.038183346,0.030528065,0.04263542,0.026377724,0.03526284,0.03114302,0.04863695,0.02535741,0.029245717,0.0374017,0.038356036,0.039870042,0.037049714,0.028053436,0.036216613,0.035044346,0.040765647,0.053676154,0.036772646
28,27,0.025681801,0.033917625,0.03276857,0.02804901,0.03742454,0.040819723,0.035556614,0.027446011,0.034675144,0.029501809,0.033464998,0.0319302,0.039904747,0.02819845,0.03670869,0.03553278,0.044143397,0.027907046,0.032532644,0.03525498,0.037619144,0.03820936,0.035217624,0.031060971,0.03382928,0.032865416,0.04045693,0.045619637,0.033702828
10,11,0.039447527,0.027772827,0.0373193,0.04486953,0.049578857,0.045134775,0.030986246,0.035635028,0.04422098,0.038508162,0.043546893,0.066179864,0.03643329,0.039529935,0.049259458,0.025636382,0.022242803,0.017039837,0.020239549,0.030054418,0.02067196,0.034295287,0.043833915,0.03240859,0.030438496,0.031096313,0.028854936,0.025500987,0.009263871
8,5,0.032448005,0.03396647,0.029493896,0.027928863,0.048848324,0.050869487,0.033814948,0.036864303,0.04999662,0.040178865,0.041210946,0.043741334,0.034042962,0.037529323,0.048360385,0.03149108,0.02442038,0.016962124,0.024235643,0.032034803,0.028418485,0.034273338,0.042551264,0.02864402,0.0336239,0.030625869,0.034774616,0.038910378,0.009739328
20,11,0.028015923,0.03914122,0.05050572,0.035551526,0.036610983,0.040724773,0.047210526,0.02716332,0.031299002,0.0293424,0.050844487,0.055560254,0.03978531,0.026577972,0.046913333,0.019236678,0.040780254,0.026123306,0.014717727,0.032963,0.03221025,0.035840098,0.030127779,0.032797113,0.02792094,0.035768293,0.032297052,0.042359773,0.01161088
24,4,0.036860414,0.029275589,0.026059931,0.029282074,0.051035605,0.046191394,0.035682235,0.041051727,0.05043856,0.03718564,0.04105613,0.04201668,0.032914095,0.040366005,0.04749525,0.03451556,0.02581472,0.019760862,0.023804493,0.033585493,0.031023772,0.0316636,0.041844763,0.025478525,0.035291515,0.030349523,0.031946216,0.037917864,0.01009182
