truth,predict,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28
23.0,21,0.03059624,0.03623646,0.032921497,0.03525091,0.03341495,0.031829476,0.03033858,0.03496202,0.03046168,0.03649139,0.03148196,0.03452568,0.035976205,0.03508465,0.033741616,0.03204227,0.03672431,0.037557386,0.03458379,0.036974628,0.03546484,0.03955032,0.03396183,0.03566546,0.034201656,0.03455712,0.036062356,0.03540073,0.033939958
7.0,21,0.032010857,0.036181353,0.033198435,0.03484527,0.0364937,0.035221253,0.033739172,0.034110934,0.0311705,0.035327584,0.032489035,0.03661893,0.036344156,0.03470962,0.035368573,0.03146373,0.035644874,0.03644063,0.03488422,0.03605518,0.032226615,0.037430488,0.03370253,0.0338502,0.033252507,0.03391707,0.034076523,0.03512871,0.034097377
26.0,17,0.028681226,0.037621897,0.034160856,0.03406555,0.03155265,0.030673083,0.029972212,0.034602072,0.029539809,0.03621804,0.03208616,0.03715408,0.03473307,0.034536947,0.03283556,0.028931282,0.03921586,0.041278012,0.03454016,0.03878513,0.032013588,0.039612725,0.034849025,0.03673939,0.03228076,0.034640584,0.03737242,0.036572028,0.034735817
0.0,4,0.03484721,0.03429749,0.035597343,0.036392853,0.04063507,0.0358248,0.032858297,0.031377424,0.032568995,0.032568518,0.032747515,0.035863776,0.036310624,0.03331289,0.036304228,0.031093258,0.035136167,0.03467396,0.034707956,0.03448788,0.032583687,0.035084523,0.032365344,0.0368453,0.033187177,0.034403104,0.033592068,0.03480168,0.035530873
27.0,21,0.029867675,0.03645645,0.032140687,0.034275714,0.03264666,0.030669594,0.029077757,0.03517383,0.029313667,0.03763045,0.029674342,0.035099454,0.035597373,0.035043,0.03453571,0.031718533,0.03785514,0.038436126,0.03593865,0.037587557,0.035782598,0.04146506,0.033885155,0.03569037,0.034094658,0.03406823,0.037071623,0.03588816,0.03331576
18.0,21,0.02847002,0.037384365,0.031744994,0.03322394,0.031558163,0.029960064,0.02802119,0.036798652,0.029228007,0.036929782,0.029914118,0.03476142,0.034683935,0.036022555,0.03416472,0.03074431,0.038962,0.040366035,0.03558982,0.03872807,0.03653591,0.040749762,0.0340118,0.03599218,0.03368377,0.034734234,0.03614363,0.0363167,0.034575865
1.0,21,0.032916036,0.035626106,0.033683933,0.03582934,0.035451744,0.03347373,0.031928826,0.034348134,0.032356113,0.03465828,0.032503545,0.034751806,0.03603611,0.034993075,0.034422595,0.03313672,0.03496837,0.035752293,0.03464242,0.035602134,0.034810986,0.036617182,0.03388171,0.034813695,0.034116033,0.03479237,0.03476679,0.035267003,0.03385293
28.0,17,0.028787337,0.03655485,0.032302413,0.03351773,0.03066835,0.030524949,0.029677464,0.03557546,0.02958508,0.037412502,0.031670082,0.03483678,0.03500088,0.03580337,0.033301547,0.029705819,0.039383963,0.040950324,0.03474233,0.039153073,0.034706708,0.039401658,0.033827756,0.036953446,0.032921046,0.034421593,0.036614805,0.035588935,0.036409717
10.0,19,0.031983875,0.035817366,0.033933382,0.03488592,0.03615632,0.033556607,0.03233671,0.033033993,0.031424694,0.03450492,0.033114012,0.036212604,0.035569593,0.03468828,0.034474574,0.030983794,0.035763286,0.035849016,0.034890827,0.03656207,0.03429132,0.0362382,0.03454315,0.036409482,0.03408801,0.033459064,0.034244522,0.036432214,0.034552265
8.0,4,0.032407932,0.035472866,0.03385737,0.035591263,0.03725087,0.03440451,0.033840496,0.034360535,0.031807166,0.03445635,0.03278686,0.035108965,0.03630799,0.034971442,0.03452546,0.032275323,0.035183083,0.035838615,0.034863792,0.035759844,0.033541698,0.036579832,0.033226017,0.034568187,0.034213834,0.03455055,0.033731673,0.035396293,0.03312116
20.0,17,0.029223125,0.03617274,0.03516453,0.03585418,0.03392991,0.032022998,0.030930735,0.03523042,0.029694151,0.036203388,0.032854937,0.036136135,0.035457645,0.03388368,0.032669798,0.029115133,0.037341833,0.041495815,0.033476833,0.038944397,0.031479746,0.03884203,0.03383677,0.034927458,0.03131337,0.036484107,0.03739428,0.03566523,0.034254685
24.0,21,0.031909592,0.035508018,0.033274613,0.036181804,0.036209278,0.033399124,0.03321195,0.034261115,0.031961247,0.035167355,0.032848816,0.03463449,0.03598679,0.03525418,0.034152906,0.03318075,0.034368314,0.034955315,0.034684647,0.036019728,0.034908976,0.03658848,0.033320438,0.03544642,0.035479616,0.03445976,0.03399219,0.03503143,0.03360269
5.0,4,0.034414783,0.035174094,0.034835804,0.0363568,0.04071627,0.03553518,0.032307714,0.032270897,0.031705167,0.03333329,0.032120455,0.036564786,0.036729712,0.033493534,0.03613612,0.03057964,0.035084557,0.034961466,0.034897894,0.035779543,0.03164507,0.035681177,0.03256259,0.035817288,0.03263663,0.034880545,0.033503804,0.035692442,0.03458275
26.0,21,0.026754022,0.03787742,0.03089223,0.032331605,0.029511884,0.027663773,0.026865905,0.037683256,0.027156612,0.038713466,0.028553454,0.03438446,0.034288906,0.035894647,0.03351066,0.030410813,0.040647242,0.043315586,0.036501076,0.040438276,0.036515977,0.044069108,0.0336445,0.036744542,0.03288078,0.0342721,0.038647857,0.03634367,0.033486176
17.0,17,0.031158896,0.035641093,0.033510663,0.033520695,0.033821274,0.032942098,0.03238547,0.035215147,0.031090563,0.03559382,0.033444323,0.035487052,0.035021134,0.034951482,0.03381296,0.030472023,0.037159864,0.03812465,0.034607213,0.037311144,0.033947024,0.036869492,0.03467611,0.035756648,0.033362255,0.033940297,0.035100475,0.035951756,0.035124376
25.0,21,0.027261738,0.037572518,0.031096483,0.032735616,0.02995781,0.028222239,0.027261037,0.037229776,0.027657948,0.038304932,0.029038472,0.03419399,0.034525402,0.03601195,0.033710755,0.030633941,0.04006948,0.04236406,0.036179163,0.039984085,0.036535665,0.04337453,0.033590157,0.03683071,0.03320981,0.03429635,0.0381278,0.03601588,0.03400778
