,class,precision,recall,f1-score,accuracy
0,A,0.0,0.0,,0.96689653
1,B,0.0,0.0,,0.97011495
2,C,0.0,0.0,,0.9641379
3,D,1.0,0.013513514,0.026666665,0.9664368
4,E,0.0121951215,0.015873017,0.013793104,0.93425286
5,F,0.0,0.0,,0.9627586
6,G,0.0,0.0,,0.9678161
7,H,0.0,0.0,,0.94528735
8,I,0.0,0.0,,0.95954025
9,J,0.0,0.0,,0.9632184
10,K,0.0,0.0,,0.9664368
11,L,0.0,0.0,,0.9691954
12,M,0.0,0.0,,0.9673563
13,N,1.0,0.011764706,0.023255814,0.9613793
14,O,1.0,0.0125,0.024691356,0.9636782
15,P,0.028857479,0.7777778,0.0556502,0.2354023
16,Q,0.033333335,0.13235295,0.053254444,0.85287356
17,R,0.055555556,0.0625,0.058823533,0.9411494
18,S,0.0,0.0,,0.965977
19,T,0.0,0.0,,0.9678161
20,U,0.0,0.0,,0.9691954
21,V,0.0,0.0,,0.965977
22,W,0.0,0.0,,0.9636782
23,X,0.0,0.0,,0.96229887
24,Y,0.0,0.0,,0.9650575
25,Z,0.0,0.0,,0.96965516
26,space,0.4,0.024096385,0.045454543,0.9613793
27,del,0.0,0.0,,0.9554023
28,nothing,0.0,0.0,,0.95816094
