truth,predict,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28
6,15,0.033704527,0.03385514,0.03430722,0.03349803,0.035009444,0.03412797,0.035024334,0.034910645,0.03515277,0.032797586,0.03399888,0.0351797,0.03390937,0.034620173,0.033664763,0.036146995,0.03543107,0.0358915,0.034317117,0.03476455,0.03444264,0.035437744,0.035205934,0.034844264,0.034426432,0.033294547,0.034347653,0.035334338,0.032354668
28,15,0.034064494,0.033499584,0.03400101,0.035238333,0.03468075,0.034281734,0.03463107,0.03460508,0.034248296,0.032236986,0.033118654,0.0347911,0.03412646,0.033856094,0.035043787,0.036654867,0.03543863,0.036290262,0.034946714,0.034233127,0.034647815,0.03508745,0.034802273,0.034817938,0.033889495,0.03391464,0.03467731,0.035233423,0.03294262
26,15,0.03350891,0.03313457,0.033723723,0.03525766,0.035261452,0.03488048,0.034404323,0.0351969,0.03446041,0.031220542,0.03308783,0.03478861,0.033769697,0.033192433,0.035221856,0.03705314,0.036445428,0.036428373,0.03509241,0.0346575,0.034697663,0.034735262,0.034982227,0.03494598,0.033938438,0.033773664,0.034583017,0.035366118,0.03219132
13,15,0.034211405,0.034416255,0.034068424,0.034241743,0.03600692,0.03474572,0.03409292,0.035130806,0.033398848,0.03220603,0.03359836,0.034825373,0.034106392,0.033691827,0.034513634,0.0369457,0.035273198,0.036376845,0.034558833,0.03437133,0.034368757,0.035678532,0.03460088,0.03413265,0.03406801,0.03394029,0.03514413,0.034876145,0.032410026
21,7,0.0338364,0.03503629,0.034820557,0.034325887,0.035428472,0.03465345,0.033918727,0.035567496,0.033563055,0.032464102,0.033640698,0.034705408,0.034806684,0.034122847,0.03469496,0.035517838,0.035074662,0.03540875,0.035057824,0.034620475,0.03425251,0.034633473,0.034219578,0.033886727,0.03430851,0.034521993,0.034741465,0.034095805,0.034075327
6,15,0.03367301,0.033377968,0.033530768,0.03534535,0.034321863,0.034535162,0.034400824,0.03473747,0.03505832,0.03187554,0.033632003,0.035585023,0.03322516,0.033361293,0.03451502,0.03691715,0.03591002,0.03572571,0.035028677,0.034621447,0.03487236,0.034916952,0.035031423,0.035063066,0.034404464,0.034314103,0.033672392,0.035523415,0.032824017
11,15,0.034333218,0.032579117,0.033216607,0.03519336,0.034876127,0.034207016,0.03461218,0.034168273,0.035123564,0.031804133,0.03329152,0.034688674,0.032555554,0.03257311,0.035463717,0.03763908,0.036769655,0.036898375,0.035122342,0.034838803,0.03468102,0.035532348,0.035020508,0.03487998,0.03365376,0.034159575,0.0343737,0.036299486,0.03144527
22,15,0.03373429,0.032719508,0.033824317,0.03523373,0.034414202,0.034169905,0.03453619,0.034303162,0.035059582,0.03256455,0.03323543,0.03479819,0.033968236,0.033402324,0.03467669,0.03669338,0.03562418,0.035942324,0.03433807,0.03475367,0.035012584,0.034844395,0.03536086,0.035627402,0.034587387,0.03397166,0.033794567,0.036013518,0.03279564
5,15,0.033824675,0.03155962,0.03302948,0.036223352,0.03439943,0.034615573,0.035011604,0.034087017,0.03602168,0.03141565,0.03372308,0.03527869,0.032172542,0.033042938,0.03524168,0.03865271,0.03663862,0.03608857,0.034144443,0.03405545,0.03514316,0.035061322,0.035689488,0.036211867,0.034040466,0.03336289,0.033747286,0.036689613,0.030827014
4,15,0.03368046,0.03294233,0.033652723,0.035400335,0.03407628,0.03409521,0.034742482,0.03462452,0.03508374,0.031512294,0.033645686,0.0358239,0.03293963,0.033649873,0.034520354,0.037575733,0.035726577,0.035683397,0.03437823,0.034803648,0.03512303,0.035318308,0.035435703,0.035596844,0.034373194,0.03362077,0.033803158,0.035958655,0.03221295
